id,trip_duration,start_time,stop_time,start_time_24hr,stop_time_24hr,start_time_weekday,stop_time_weekday,start_time_year,stop_time_year,start_time_month,stop_time_month,start_station_id,end_station_id,bike_id,user_type,birth_year,gender
1,617,22:43.9,33:01.8,19:22,19:33,07-Sun,07-Sun,2019,2019,2-Feb,2-Feb,175,172,29539,Subscriber,1991,2
2,252,25:26.4,29:39.3,19:25,19:29,07-Sun,07-Sun,2019,2019,2-Feb,2-Feb,175,65,29242,Subscriber,1973,1
3,283,36:36.3,41:19.5,19:36,19:41,07-Sun,07-Sun,2019,2019,2-Feb,2-Feb,175,180,29505,Subscriber,1984,1
4,292,49:52.8,54:45.2,19:49,19:54,07-Sun,07-Sun,2019,2019,2-Feb,2-Feb,175,84,26235,Subscriber,1979,1
5,121,03:07.9,05:08.9,7:03,7:05,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,143,29210,Subscriber,1971,2
6,68,27:09.1,28:17.6,8:27,8:28,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,143,26158,Subscriber,1975,1
7,78,11:12.4,12:31.4,14:11,14:12,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,143,26178,Subscriber,1977,1
8,1844,03:31.7,34:16.6,15:03,15:34,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,175,29504,Subscriber,1962,1
9,72,07:24.4,08:37.2,15:07,15:08,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,143,26282,Subscriber,1985,1
10,275,39:04.6,43:40.0,15:39,15:43,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,32,29504,Subscriber,1962,1
11,269,41:30.9,46:00.2,16:41,16:46,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,110,29491,Subscriber,1968,1
12,520186,44:18.3,14:04.6,16:44,17:14,01-Mon,07-Sun,2019,2019,2-Feb,2-Feb,175,172,29224,Subscriber,1985,1
13,209,45:42.7,49:12.2,16:45,16:49,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,13,29219,Subscriber,1976,1
14,211,06:08.9,09:40.3,17:06,17:09,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,32,26165,Subscriber,1981,1
15,263,07:09.8,11:33.5,17:07,17:11,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,84,26158,Subscriber,1993,1
16,110,21:30.0,23:20.8,17:21,17:23,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,63,29575,Subscriber,1969,0
17,297,22:10.5,27:08.0,17:22,17:27,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,32,29680,Subscriber,1983,1
18,691,32:39.0,44:10.8,17:32,17:44,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,51,26252,Subscriber,1969,0
19,239,37:43.0,41:42.1,17:37,17:41,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,155,29452,Subscriber,1980,1
20,325,40:56.4,46:21.6,17:40,17:46,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,192,29627,Subscriber,1962,1
21,277,52:41.3,57:18.6,17:52,17:57,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,155,29126,Subscriber,1975,1
22,231,57:45.5,01:37.1,17:57,18:01,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,110,29246,Subscriber,1989,2
23,148,03:59.7,06:27.8,18:04,18:06,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,63,29510,Subscriber,1978,1
24,162,09:41.8,12:24.6,18:09,18:12,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,52,26204,Subscriber,1987,1
25,232,20:54.8,24:47.0,18:20,18:24,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,155,29267,Subscriber,1979,1
26,273,24:22.6,28:55.8,18:24,18:28,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,110,26211,Subscriber,1955,1
27,295,33:59.5,38:54.9,18:34,18:38,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,155,29276,Subscriber,1975,1
28,246,34:15.1,38:22.0,18:34,18:38,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,110,29664,Subscriber,1976,1
29,250,35:32.4,39:43.0,18:35,18:39,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,145,29208,Subscriber,1970,1
30,467,44:30.3,52:17.9,18:44,18:52,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,110,29295,Subscriber,1974,1
31,455,51:04.5,58:40.4,18:51,18:58,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,192,29217,Subscriber,1971,2
32,228,55:37.5,59:25.7,18:55,18:59,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,155,29527,Subscriber,1972,1
33,130,00:33.6,02:44.4,19:00,19:02,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,65,29277,Subscriber,1990,1
34,799,15:06.4,28:25.6,19:15,19:28,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,90,29515,Subscriber,1991,1
35,160,21:29.3,24:09.9,19:21,19:24,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,52,26212,Subscriber,1984,1
36,235,30:20.4,34:16.3,19:30,19:34,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,145,29577,Subscriber,1968,2
37,215,40:13.4,43:48.6,19:40,19:43,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,52,26238,Subscriber,1958,1
38,278,00:33.3,05:12.3,20:00,20:05,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,188,26316,Subscriber,1983,1
39,158,20:00.3,22:39.1,20:20,20:22,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,13,26226,Subscriber,1994,1
40,298,22:24.0,27:22.9,20:22,20:27,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,52,29616,Subscriber,1994,2
41,318,09:26.4,14:44.8,22:09,22:14,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,110,29291,Subscriber,1993,1
42,297,09:42.7,14:40.3,22:09,22:14,01-Mon,01-Mon,2019,2019,2-Feb,2-Feb,175,73,29282,Subscriber,1988,1
43,210,52:17.6,55:47.8,7:52,7:55,02-Tue,02-Tue,2019,2019,2-Feb,2-Feb,175,52,29669,Subscriber,1973,1
44,302,21:30.9,26:33.3,15:21,15:26,02-Tue,02-Tue,2019,2019,2-Feb,2-Feb,175,110,29664,Subscriber,1983,1
45,394,53:23.2,59:57.5,17:53,17:59,02-Tue,02-Tue,2019,2019,2-Feb,2-Feb,175,67,26164,Subscriber,1976,1
46,308,56:36.0,01:44.9,17:56,18:01,02-Tue,02-Tue,2019,2019,2-Feb,2-Feb,175,155,29246,Subscriber,1972,1
47,361,57:19.6,03:21.3,17:57,18:03,02-Tue,02-Tue,2019,2019,2-Feb,2-Feb,175,110,26270,Subscriber,1970,1
48,201,10:51.7,14:13.3,18:10,18:14,02-Tue,02-Tue,2019,2019,2-Feb,2-Feb,175,65,29252,Subscriber,1983,1
49,646,55:53.3,06:39.5,19:55,20:06,02-Tue,02-Tue,2019,2019,2-Feb,2-Feb,175,180,29484,Subscriber,1991,1
50,135,52:09.1,54:25.0,21:52,21:54,02-Tue,02-Tue,2019,2019,2-Feb,2-Feb,175,65,26263,Subscriber,1985,1
51,123,04:11.3,06:14.7,7:04,7:06,03-Wed,03-Wed,2019,2019,2-Feb,2-Feb,175,143,29475,Subscriber,1971,2
